id,latitude,longitude,name,Location,imgURL,Asset,category,AssetType,Description,Cost Details,Performance Notes (Benefits),Source
,29.65153448,-90.35299907,,"Barataria Basin, LA",,"Wetlands, Hwy 1 (indirectly)",shoreline,Marsh,"Created 1,163 acres of marsh using 10.5M cubic yards of Mississippi River sediment",~$176 million,"Enhances coastal resilience, protects inland infrastructure, supports biodiversity",https://gulfspillrestoration.noaa.gov/media/document/2020-07-la-public-final-rpea-33-barataria-marsh-creationpdf?
,30.20518186,-89.70040434,,"Fritchie Marsh, St. Tammany Parish, LA",,"U.S. Hwy 90, LA Hwy 433 (impact source)",shoreline,Marsh,"Enlarged culvert, dredged bayou, and diverted runoff to restore freshwater flow and marsh health",Not specified,"Reduced salinity, restored natural hydrology, improved marsh function",https://www.lacoast.gov/reports/gpfs/PO-06.pdf
,29.26105085,-89.96211378,,"Caminada Headland (Jefferson & Lafourche Parishes, LA)",,"Hwy 1, barrier headland",shoreline,Dune & beach ,Restored 489 acres with 5.4M cubic yards of sediment from Ship Shoal,Not specified,"Reduced shoreline retreat, protected Hwy 1 and habitat from surge",https://cims.coastal.louisiana.gov/outreach/projects/ProjectView?projID=BA-0143
,34.26884353,-119.2783923,,"Ventura County, CA",,Bike path and beach access,shoreline,dune & berm ,Surfersâ€™ Point project relocated infrastructure inland and restored dunes and cobble beach to stabilize shoreline and protect public access.,Not specified in summary,"Withstood El NiÃ±o storms, preserved beach access, and stabilized bike path using nature-based methods.",https://www.energy.ca.gov/sites/default/files/2019-12/Oceans_CCCA4-CNRA-2018-011_ada.pdf
,33.74989264,-118.0884183,,"Seal Beach National Wildlife Refuge, CA",,Coastal marsh,shoreline,Marsh,Raised marsh elevation using dredged sediment to enhance resilience to sea-level rise and subsidence.,Not specified,"Promotes marsh survival, enhances bird habitat, and mitigates impacts of subsidence and sea level rise.",https://www.energy.ca.gov/sites/default/files/2019-12/Oceans_CCCA4-CNRA-2018-011_ada.pdf
,37.69292866,-122.3105667,,"San Francisco Bay, CA",,Tidal shoreline and estuary,shoreline,reefs,"Installed oyster reefs and eelgrass beds to stabilize shoreline, reduce erosion, and restore estuarine habitat.",Not specified,"Reduced wave energy by 30%, increased habitat and biodiversity, enhanced resilience.",https://www.energy.ca.gov/sites/default/files/2019-12/Oceans_CCCA4-CNRA-2018-011_ada.pdf
,38.0590636,-122.500665,,"Hamilton Wetlands, Marin County, CA",,Coastal wetland and flood zone,shoreline,Marsh ,Restored wetlands using dredged sediment and intertidal berms to slow waves and support biodiversity.,Not specified,"Improved flood protection, provided habitat for endangered species, stabilized sediment.",https://www.energy.ca.gov/sites/default/files/2019-12/Oceans_CCCA4-CNRA-2018-011_ada.pdf
,40.74578158,-124.2280597,,"Humboldt County, CA",,Coastal dunes and barrier spits,shoreline,Dune ,Monitored and managed native dune systems to assess resilience to sea-level rise and protect inland resources.,Not specified,"Supported dune migration, reduced erosion risk, protected critical infrastructure and ecosystems.",https://www.energy.ca.gov/sites/default/files/2019-12/Oceans_CCCA4-CNRA-2018-011_ada.pdf
,32.75274351,-117.2004696,,"San Diego County, CA",,Highway 101,shoreline,Dune ,Cardiff State Beach project constructed engineered dunes with native vegetation to protect Highway 101 from coastal erosion and sea level rise.,Not specified,Improved shoreline resilience; supported native dune vegetation; buffered storm impacts on Highway 101.,https://dot.ca.gov/-/media/dot-media/programs/environmental-analysis/documents/env/ct-ccc-congressional-briefing-presentation-a11y.pdf
,41.36335595,-123.9894487,,"Humboldt County, CA",,Highway 101 (Eurekaâ€“Arcata Corridor),shoreline,Marsh,Implemented nature-based shoreline protection along Hwy 101 using tidal marsh restoration to reduce flood risk.,Not specified,Restored wetlands; reduced tidal flooding and protected road corridor from sea level rise.,https://dot.ca.gov/-/media/dot-media/programs/environmental-analysis/documents/env/ct-ccc-congressional-briefing-presentation-a11y.pdf
,36.75472053,-121.765317,,"Ventura County, CA",,Pacific Coast Highway (Sycamore Cove),shoreline,Dune + beach ,"Part of the PCH corridor plan, this project uses dune restoration and avoids shoreline hardening to adapt the highway to erosion and sea level rise.",Not specified,"Enhanced sediment flow, reduced erosion, and improved corridor resilience using nature-based design.",https://dot.ca.gov/-/media/dot-media/programs/environmental-analysis/documents/env/ct-ccc-congressional-briefing-presentation-a11y.pdf
,29.33108398,-94.73621833,,"Galveston Island, TX (61st Street)",,Shoreline roads and tourism infrastructure,shoreline,Beach ,"Used dredged sediment to nourish the beach, reduce erosion, and enhance storm protection and tourism.",Not specified,"Storm protection, property value increase, tourism growth, erosion control",https://nicholasinstitute.duke.edu/project/nature-based-solutions-roadmap/case-study/galveston-beach-nourishment-61st-street
,28.45177565,-96.40472945,,"Port Connor, TX (King Fisher Beach)",,Local roads and shoreline infrastructure,shoreline,Beach ,"Nourished beach with 58,305 mÂ³ of dredged sediment to reduce erosion and storm surge impact.",Not specified,"Erosion reduction, habitat creation, property protection, tourism boost",https://nicholasinstitute.duke.edu/project/nature-based-solutions-roadmap/case-study/king-fisher-beach
,29.18965554,-94.98040185,,"Katy Prairie, TX",,Regional road networks (indirect protection),shoreline,Marsh,Restored over 17 miles of stream and wetland features to manage flood risk and improve ecological resilience.,Not specified,"Survived Hurricane Harvey with minimal erosion, flood protection, ecological gains",https://www.stantec.com/en/projects/united-states-projects/k/katy-prairie-stream-restoration
,30.61745075,-93.80934514,,"Bolivar Peninsula, TX",,State Highway 87 (evacuation route),shoreline,Beach and Dune ,Restored beach and dunes using local sediment to protect the only hurricane evacuation route.,State-funded (CEPRA); exact cost not stated,"Storm surge buffer, road protection, ecological co-benefits",https://www.glo.texas.gov/coastal/coastal-projects/bolivar-peninsula-beach-dune-restoration-design-and-engineering-project
,29.18965554,-94.98040185,,"Jamaica Beach, Galveston Island, TX",,Coastal access roads and tourism infrastructure,shoreline,Beach ,"Added 61,000 cubic yards of sand to raise shoreline elevation and reduce flood risk.",$5 million,"Protects shoreline roads, boosts recreation and coastal resilience",https://www.glo.texas.gov/coastal/coastal-projects/jamaica-beach-beach-nourishment-and-dune-restoration
,,,,"Summit County, UT",,Interstate 80,wildlife,Wildlife Overpass,"Budget-conscious overpass to reduce wildlife-vehicle collisions; documented use by deer, moose, bear, mountain lion, etc.",Typical 4-lane overpass costs 5M -10M$; built with cost-saving narrower design,Hundreds of animal crossings in early months; reduced collisions by ~70%; high public and ecological value,https://www.usu.edu/today/story/safe-crossings-wildlife-overpasses-connect-habitat-and-save-lives
,,,,"Snoqualmie Pass, WA",,I-90 at Keechelus Lake,wildlife,Wildlife Overpass + Undercrossings,"150-ft-wide fully vegetated overpass + multiple undercrossings and fish culverts, part of 15-mile wildlife corridor program",$6.2M for Keechelus bridge; funded by WSDOT and partners (2015â€“2018),"North America's largest vegetated overpass; successful crossings by elk, deer, cougar; ongoing habitat restoration and monitoring",https://conservationnw.org/our-work/habitat/i-90/
,29.54497482,-98.45706447,,"San Antonio, TX",,Wurzbach Parkway (Phil Hardberger Park),urban,Land Bridge (Multimodal NBS),"150-ft-wide land bridge designed for wildlife and pedestrians; includes native prairie restoration, rainwater catchment, ADA skywalk","$23M total: $13M public bond, $10M private funding incl. TPWD, Bexar County, Tobin Endowment","Used by deer, coyote, bobcat, etc.; blends into park; includes 250,000-gallon rainwater system and educational features",https://static.tti.tamu.edu/conferences/envr21/presentations/bos16c-westerman.pdf
,39.11397435,-94.61649826,,"Clear Creek County, CO",,I-70 at Genesee,urban,Wildlife Underpass,Wildlife underpass at Mile Point 254.5; located at Coloradoâ€™s top wildlife-vehicle collision hotspot east of Eisenhower Tunnel,Not specified; funded as part of Floyd Hill Early Projects,"Wildlife fencing + underpass completed in 2024; major reduction in collisions expected; designed for elk, deer, small mammals",https://www.codot.gov/projects/i70floydhill/earlyprojects
,29.70146255,-95.40656525,,"Houston, TX",,Bayou Greenways,urban,Greenway + Stormwater Detention,"150-mile greenway system with stormwater basins adjacent to trails and roads, protecting infrastructure from floodwaters.",$250M public-private partnership; Willow Waterhole alone stores 600M gallons,"Improves flood resilience of adjacent roadways, supports pedestrian transportation across 3,000 acres of linear parkland.",https://cityparksalliance.org/wp-content/uploads/2023/05/Parks-and-Green-Stormwater-PolicyBrief-12-10-2024.pdf
,,,,"Philadelphia, PA",,Urban properties (non-residential),urban,Green Infrastructure Retrofits,"Green retrofits (rain gardens, bioswales, tree trenches) installed adjacent to streets and sidewalks on urban commercial properties.",Funded by Philadelphia Water Dept.; average grant covers full retrofit design + construction,Reduces stormwater entering transportation corridors; decreases runoff to nearby roads and urban drainage systems.,https://water.phila.gov/stormwater/incentives/grants/
,40.57266196,-74.14586377,,"Staten Island, NY",,Streets and drainage corridors,urban,Bluebelt Drainage System,"Bluebelt system captures and filters stormwater runoff from roads, preserving open drainage corridors in place of traditional pipe systems.",Cost-effective vs. traditional pipes; multiple awards since 1996; widely scaled,"Protects streets from flooding and erosion, filters roadway runoff, and enhances transportation network resilience.",https://www.nyc.gov/site/dep/water/the-bluebelt-program.page
,,,,"Portland, OR",,Neighborhood streets,urban,Green Streets (Bioswales),Vegetated curb extensions installed directly on roads to intercept and treat stormwater from impervious street surfaces.,Funded by Portland Environmental Services; ongoing citywide installation,"Improves road drainage, reduces combined sewer overflows, enhances walkability and urban mobility.",https://www.portland.gov/bes/stormwater/about-green-streets
,,,,"Dubuque, IA",,Bee Branch Creek Corridor,urban,Daylighting + Flood Mitigation,Replaced buried storm sewer under public street grid with open creek and stormwater landscape system parallel to roads.,Multi-phase investment over 15+ years; major phases complete by 2020,"Prevents urban street flooding; protects 1,150 structures along road corridors; reduces storm-related disruption.",https://www.cityofdubuque.org/1538/Project-History
,37.34529903,-119.2401123,,"Sierra National Forest, CA",,Forest Road 9S09,urban,Elevated Roadway + Amphibian Crossing,100-ft elevated roadway with fencing to guide Yosemite toads safely under the road during seasonal migration.,"Cost not specified; implemented via partnership among USFS, Caltrans, USGS, and USFWS.","Reduces amphibian road mortality, maintains habitat connectivity, and improves road safety in a high-conflict ecological zone.",https://largelandscapes.org/wp-content/uploads/2021/04/WILDLIFE-CROSSING-SUCCESS-STORIES-IN-THE-WESTERN-STATES.pdf?
,29.97294886,-90.09157161,,"New Orleans, LA",,Lafitte Greenway (2.6 mi linear corridor),urban,Greenway + Floodable Landscape,"Pedestrian and bicycle corridor built on former rail line with rain gardens, bioswales, and permeable paving to manage stormwater along active transportation route.",Major phase opened 2015; part of post-Katrina green infrastructure investment,"Improves stormwater retention along mobility corridor, reduces flooding on adjacent streets, connects neighborhoods with safe active transport route.",https://www.landscapeperformance.org/case-study-briefs/lafitte-greenway?
,,,,"Minneapolis & St. Paul, MN",,University Avenue Green Line,urban,Transit Corridor + Green Infrastructure,"5-mile light rail corridor retrofit with tree trenches, rain gardens, and permeable surfaces installed adjacent to sidewalks and station areas.",Integrated with Green Line construction (~$957M total corridor investment),"Stormwater infrastructure supports sidewalk and transit station drainage, reduces runoff to streets, enhances pedestrian comfort.",https://nacto.org/latest/university-avenue-green-line-minneapolis-st-paul/?
,45.54454741,-122.5768415,,"Portland, OR",,NE Siskiyou Street,urban,Green Street ,Curb extension with vegetated swale on residential street to intercept road runoff and treat stormwater before entering the combined sewer system.,City-funded as part of Green Streets initiative,Reduces peak stormwater flows and pollutants from neighborhood streets; supports walkability and bike safety.,https://www.asla.org/sustainablelandscapes/pdfs/Green_Street_Fact_Sheet.pdf
,,,,"Maplewood, MN",,Mall parking + entry roads,urban,Tree Trenches ,Tree trench retrofit in commercial development to manage stormwater from adjacent parking and entrance drives.,Funded by Minnesota Clean Water Fund,"Improves stormwater control near high-traffic entrances; while not directly on public roads, enhances runoff management in transportation-adjacent infrastructure.",https://stormwater.pca.state.mn.us/index.php/Case_studies_for_tree_trenches_and_tree_boxes?
,45.54816161,-122.5795633,,"Portland, OR",,NE Fremont Street (collector),urban,Green Street Curb Extension,Vegetated curb extension on collector street integrated with ADA improvements and local traffic calming.,City project; integrated with accessibility retrofit,"Intercepts road runoff, filters pollutants, and improves pedestrian and ADA access at intersections.",https://www.epa.gov/sites/default/files/2015-11/documents/ne-fremont-green-street-report.pdf
,,,,Connecticut (multiple towns),,Farmington Canal Heritage Trail,urban,Greenway (Rail-to-Trail Conversion),"Multi-use trail along historic canal and rail corridor with permeable paving, bioswales, and buffer landscaping in urban areas.",Public-private funding; over 75% of trail completed and open,Supports non-motorized transportation; enhances stormwater infiltration near city roads; safe off-street mobility corridor.,https://fchtrail.org/
,,,,"Florida (Lake, Seminole Counties)",,Farmington Canal Heritage Trail,wildlife,Wildlife Overpasses + Stormwater,"21-mile expressway with wildlife bridges, stormwater basins, and 10-ft multi-use trail spanning conserved lands and urban connectors.",~$1.6B project; opened January 2024,"Reduces vehicle-wildlife collisions, controls runoff from highway, adds non-motorized trail across the corridor.",https://www.wekivaparkway.com/
,32.79553527,-79.94177039,,South Carolina (Charleston),,Lowcountry Lowline,urban,Urban Green Corridor + Stormwater,"Conceptual greenway with stormwater features under US 26; integrates pedestrian trail, transit hubs, and landscape-based drainage.",Planning phase; implementation budget under development,"Designed to manage roadway runoff, reduce urban flooding, and create transportation options, Planned only.",https://img1.wsimg.com/blobby/go/8ea757b0-5f80-43d3-877a-81a3e1fd0db8/2020.12.02_Lowline%20Conceptual%20Plan_reduced.pdf
,33.62922947,-110.584038,,"Tucson, AZ",,State Route 77 (Oracle Road),wildlife,Overpass + Underpass,Crossings reconnect wildlife between mountain ranges on widened SR-77 using a Â½ cent sales tax for funding.,Part of broader transportation upgrade; funded locally through sales tax,"Over 10,000 wildlife crossings recorded; reduces vehicle collisions and supports mountain ecology.",https://largelandscapes.org/wp-content/uploads/2021/04/WILDLIFE-CROSSING-SUCCESS-STORIES-IN-THE-WESTERN-STATES.pdf
,36.00975946,-114.7321151,,"Hoover Dam, AZ",,U.S. Highway 93,wildlife,Overpasses,Crossings built for desert bighorn sheep on a major interstate freight and tourism route.,Constructed in 2011; monitored with high-resolution video systems,"6,000+ crossings observed; protects western U.S largest bighorn population.",https://largelandscapes.org/wp-content/uploads/2021/04/WILDLIFE-CROSSING-SUCCESS-STORIES-IN-THE-WESTERN-STATES.pdf
,39.22122823,-105.9935683,,Colorado,,State Highway 9,wildlife,Overpasses + Underpasses,Wildlife crossing system for mule deer and elk; Colorado's first multi-structure wildlife corridor project.,Community raised $9M (20%) of total cost under CDOT RAMP program,"Reduced collisions by 88%, over 112,000 successful crossings recorded.",https://largelandscapes.org/wp-content/uploads/2021/04/WILDLIFE-CROSSING-SUCCESS-STORIES-IN-THE-WESTERN-STATES.pdf
,44.46514264,-113.2443371,,"Salmon, ID",,State Route 28 Bridges,wildlife,Bridges + Culverts + Fencing,"Nine river-spanning bridges enlarged to improve aquatic and terrestrial passage, with added fencing and bat boxes.","Part of 17-bridge design-build program; $6M saved, timeline cut by 20 years","Improved fish and wildlife access, reduced erosion, added habitat features.",https://largelandscapes.org/wp-content/uploads/2021/04/WILDLIFE-CROSSING-SUCCESS-STORIES-IN-THE-WESTERN-STATES.pdf
,41.09982015,-114.9581235,,"Pequop Mountains, NV",,Interstate 80 + Highway 93,wildlife,Overpasses +  Underpasses,30-mile crossing network for mule deer migration with overpasses and retrofitted culverts.,Built from 2010 to 2018; supported by long-term state planning,Tens of thousands of crossings; featured in award-winning documentary.,https://largelandscapes.org/wp-content/uploads/2021/04/WILDLIFE-CROSSING-SUCCESS-STORIES-IN-THE-WESTERN-STATES.pdf
,,,,"Tucson, AZ",,Storm to Shade Program,urban,Green Infrastructure,"Stormwater basins, curb cuts, and native vegetation installed in parks and along sidewalks and streets to harvest and slow urban runoff.",Funded through community block grants and local government programs,"Reduces roadway runoff, enhances shaded pedestrian routes, improves safety and walkability in low-income neighborhoods.",https://cityparksalliance.org/wp-content/uploads/2023/05/Parks-and-Green-Stormwater-PolicyBrief-12-10-2024.pdf
,,,,"Tucson, AZ",,CSM Barreras Memorial Park,urban,Stormwater Retrofit,Green infrastructure retrofit using swales and native planting to collect stormwater from surrounding streets and parking areas.,Delivered through collaborative park improvement project,"Protects road surfaces from flooding; provides shaded, walkable space for community access and mobility.",https://cityparksalliance.org/wp-content/uploads/2023/05/Parks-and-Green-Stormwater-PolicyBrief-12-10-2024.pdf
,,,,"Atlanta, GA",,Rodney Cook Sr. Park,urban,Stormwater Park,"Flood-prone site converted into a stormwater-retaining park with multi-use trails, green infrastructure, and public access paths.",$40M joint project by city and park foundation,"Controls runoff from roads, protects nearby intersections from flooding, improves access to Westside Beltline Trail.",https://cityparksalliance.org/wp-content/uploads/2023/05/Parks-and-Green-Stormwater-PolicyBrief-12-10-2024.pdf
,,,,"Atlanta, GA",,Proctor Creek Greenway,urban,Corridor Restoration ,Stream corridor restored with adjacent trails and green infrastructure to intercept and slow road runoff into creek system.,Funded through local resilience and EPA grants,"Protects downstream road infrastructure, connects neighborhoods via green trails, improves stormwater resilience.",https://cityparksalliance.org/wp-content/uploads/2023/05/Parks-and-Green-Stormwater-PolicyBrief-12-10-2024.pdf
